# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\panel.png	166	185	255
30	map\map1\WorldMap\1_bank.png	0	0	0
40	textures\HUD.png	0	204	129

#ID	TWidth	THeight	TRTSet	TCTSet	TRMap	TCMap	TTiles	Matrix_Path
[MAP]
30	16	16	4	11	11	17	37	map\map1\WorldMap\1.txt

[ZONE]
#ID	l	t	r	b
1	0	0	256	176


# id	left	top	right	bottom	texture_id
[SPRITES]

#small Mario
10001	4	116	18	132	0
10002	24	116	38	132	0

#Big mario
10101	44	116	60	137	0
10102	64	116	80	137	0

#Raccoon Mario
10201	85	113	101	137	0
10202	106	113	122	137	0

#Fire Mario
10301	85	168	101	189	0
10302	106	168	122	189	0

#Bush
30001	4	14	20	30	0
30002	24	15	40	30	0
30003	44	14	60	30	0

#HUD
#main Board 
999001	7	128	269	158	40
#card
#empty card
999003	160	159	184	187	40
#mushroom card
999004	184	159	208	187	40
#flower card 
999005	208	159	232	187	40
#star card
999006	232	159	156	187	40
# player icon
# mario 
999007	16	161	32	168	40
#luigi
999008	16	171	32	158	40
#imminent
#active
#normal imminent
999009	64	162	72	169	40
#last imminent
999010	73	162	88	169	40
#inactive
#normal
999011	91	162	99	169	40
#last
999012	100	162	115	169	40
# ==FONT==
#0
999101	77	31	85	38	40
#1
999102	87	31	95	38	40
#2
999103	97	31	105	38	40
#3
999104	107	31	115	38	40
#4
999105	117	31	125	38	40
#5
999106	127	31	135	38	40
#6	
999107	137	31	145	38	40
#7	
999108	147	31	155	38	40
#8
999109	157	31	165	38	40
#9
999110	167	31	175	38	40
#A
999111	177	31	185	39	40
#B
999112	187	31	195	39	40
#C
999113	77	41	85	49	40
#D
999114	87	41	95	49	40
#E
999115	97	41	105	49	40
#F
999116	107	41	115	49	40
#G
999117	117	41	125	49	40
#H
999118	127	41	135	49	40
#I
999119	137	41	145	49	40
#J
999120	147	41	155	49	40
#K
999121	157	41	165	49	40
#L
999122	167	41	175	49	40
#M
999123	177	41	185	49	40
#N
999124	187	41	195	49	40
#O
999125	77	51	85	59	40
#P
999126	87	51	95	59	40
#Q
999127	97	51	105	59	40
#R
999128	107	51	115	59	40
#S
999129	117	51	125	59	40
#T
999130	127	51	135	59	40
#U
999131	137	51	145	59	40
#V
999132	147	51	155	59	40
#W
999133	157	51	165	59	40
#X
999134	167	51	175	59	40
#Y
999135	177	51	185	59	40
#Z
999136	187	51	195	59	40

#points
#100
999201	61	89	72	97	40	
#200
999202	75	89	87	97	40
#400
999203	90	89	102	97	40
#800
999204	105	89	117	97	40
#1000
999205	120	89	135	97	40
#2000
999206	138	89	154	97	40
#4000
999207	157	89	173	97	40
#8000
999208	176	89	192	97	40
#1VP
999209	195	89	211	97	40
#===============================================================================================
#===============================================================================================
#===============================================================================================
#===============================================================================================

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== MARIO =========
#small mario
10001	10001	100	10002	100
#Big mario
10101	10101	100	10102	100
#raccoon
10201	10201	100	10202	100
#fire mario
10301	10301	100	10302	100

#bush
30001	30001	300	30002	300	30003	300	30002	300

# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
#	0	1	2	3	4	
10000	10001	10101	10201	10301

#Station
#0	1	2	3	4
20000

#bush
30000	30001
[OBJECTS]
# type	x	y	ani_set_id	detail_type	extra_settings per object type
# type: 0 = Mario , 1 = Station, 2 = bush

#Station
#type	x	y	ani	l	t	r	b	idScene
1	32	48	20000	0	0	1	0	-1
1	64	48	20000	1	1	0	0	-1
1	64	16	20000	0	0	1	1	101
1	96	16	20000	1	0	1	0	-1
1	128	16	20000	1	0	1	1	-1
1	160	16	20000	1	0	1	0	-1
1	192	16	20000	1	0	0	1	-1
1	128	48	20000	0	1	1	1	-1
1	160	48	20000	1	0	1	0	-1
1	192	48	20000	1	1	0	0	-1
1	64	64	20000	0	0	0	1	-1
1	64	80	20000	0	1	1	1	-1
1	96	80	20000	1	0	1	0	-1
1	128	80	20000	1	1	0	0	-1
1	64	112	20000	0	1	0	1	-1
1	96	112	20000	0	0	1	0	-1
1	128	112	20000	1	0	1	1	-1
1	160	112	20000	1	0	1	0	-1
1	192	112	20000	1	0	0	0	-1
1	64	144	20000	0	1	1	0	-1
1	96	144	20000	1	0	1	0	-1
1	128	144	20000	1	1	0	0	-1

#Bush
2	16	16	30000
2	32	16	30000
2	48	16	30000
2	16	32	30000
2	32	32	30000
2	48	32	30000

2	16	64	30000
2	32	64	30000
2	48	64	30000
2	16	80	30000
2	32	80	30000
2	48	80	30000
2	16	96	30000

2	80	32	30000
2	96	32	30000
2	112	32	30000
2	80	48	30000
2	96	48	30000
2	112	48	30000
2	80	64	30000
2	96	64	30000
2	112	64	30000

2	144	32	30000
2	160	32	30000
2	176	32	30000

2	96	96	30000
2	112	96	30000
2	128	96	30000

2	208	16	30000
2	224	16	30000
2	208	32	30000
2	224	32	30000
2	208	48	30000
2	224	48	30000
2	144	64	30000
2	160	64	30000
2	176	64	30000
2	192	64	30000
2	208	64	30000
2	224	64	30000
2	144	80	30000
2	160	80	30000
2	224	80	30000
2	224	96	30000
2	224	112	30000
2	224	128	30000
2	224	144	30000

#mario
0	32	48	10000
